,Регион,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
39,Кабардино-Балкарская Республика,5131.4,5459.2,6611.7,11057.3,15948.9,21834.2,25369.9,29036.2,32884.8,42253.1,50225.2,57011.8,67731.3,76451.1,89668.3,105412.7,124226.6,129236.2,135984.6,139908.7,177182.0,179417.9,186574.1,197218.3,210674.1
40,Карачаево-Черкесская Республика,5435.4,5703.0,6391.3,9550.5,12404.2,16639.7,23297.3,25999.0,29348.9,36971.7,50778.7,59200.9,76277.2,81758.5,91782.3,103462.3,124058.6,140400.9,139156.0,144061.8,168098.1,177468.1,184013.0,197658.3,207471.5
41,Республика Северная Осетия-Алания,4538.4,4796.8,5727.5,9835.2,11964.5,17914.2,22541.2,26705.1,34323.6,44127.2,61229.6,74356.6,81097.0,90040.7,105781.6,120824.3,137721.8,168268.3,178762.8,178921.1,211526.9,217115.4,229965.3,248172.2,267814.4
42,Чеченская Республика,20038.4,20038.4,20038.4,20038.4,20038.4,20038.4,20038.4,20038.4,20038.4,20038.4,27831.4,40572.6,54742.1,51981.3,55995.7,67220.5,77877.2,91646.1,109649.0,111705.4,143561.5,151464.0,154705.5,164617.3,171029.5
43,Ставропольский край,7718.6,8833.8,10363.8,14018.6,19603.9,24780.1,29453.4,37058.0,44610.0,53414.6,66136.4,80715.3,99503.3,99994.7,118920.6,142409.2,154811.0,172204.2,193349.6,221814.1,254226.6,262480.7,280220.7,295435.5,308476.2
44,Республика Башкортостан,12454.1,14086.0,13745.0,23709.8,35245.9,40609.7,45756.0,59274.3,76042.5,93683.1,124439.6,145543.9,183168.7,159428.7,186522.0,231314.0,282918.4,286131.7,309520.8,323367.4,349351.5,366013.2,428715.6,447535.2,425161.0
45,Республика Марий Эл,6293.8,7522.7,8156.1,12369.4,15114.8,20502.6,24411.2,31719.0,41757.6,46589.5,61413.0,77919.2,93512.4,98888.9,118110.4,140243.8,169514.7,182664.2,208406.1,250039.3,249375.0,260703.5,282803.8,300163.4,290803.3
46,Республика Мордовия,7777.3,8509.1,8963.9,13176.5,19219.8,24473.2,30848.9,37681.7,43807.6,50982.6,67309.8,90138.7,110877.3,107903.3,125975.5,144636.0,163399.0,182380.2,214519.4,223161.1,276359.6,292626.5,306987.1,332154.8,342811.2
47,Республика Татарстан,14061.5,14849.0,17366.3,28593.4,49139.3,56479.2,66298.7,80809.2,103726.8,128226.9,161045.9,201172.1,245628.5,234206.4,264561.7,344092.5,376907.1,405069.9,431913.8,483509.9,530860.1,582208.5,673117.8,716745.5,675621.4
48,Удмуртская Республика,10571.8,11868.5,11807.2,21642.8,33488.8,41407.0,49800.6,56904.4,64732.3,90316.3,106891.0,133904.7,158850.7,151268.7,180316.9,221152.7,245592.6,266992.3,296948.8,341391.7,375910.8,390800.7,450225.9,479562.9,451490.9
49,Чувашская Республика - Чувашия,7326.2,7897.0,8328.9,12407.3,17276.5,23253.6,28261.3,34540.2,45955.1,54001.9,73147.3,97528.7,122980.3,111300.3,125843.0,151177.9,174925.5,179710.6,191639.9,203100.9,230260.9,240379.6,257992.5,278358.9,287210.3
50,Пермский край,13694.7,15677.7,17955.2,30241.6,43273.2,58570.7,63032.2,74783.8,96240.2,119654.0,141864.8,178096.8,227719.0,203364.2,235930.6,319149.5,326782.7,334027.2,369489.3,403601.4,435823.7,474129.3,543647.6,573894.3,541930.2
51,Кировская область,8793.4,9882.8,9978.7,16164.9,23165.6,27297.1,33124.0,38900.6,48464.8,55726.6,68958.3,85144.4,110127.9,107680.4,128073.7,146451.8,157541.4,170457.6,194311.6,216918.0,242189.8,257681.1,276491.3,292171.6,315153.9
52,Нижегородская область,9774.8,12205.3,12936.8,19806.2,29090.1,41773.2,48321.6,59149.2,69629.5,87354.7,110662.7,140297.9,175587.1,164071.8,196792.5,233405.3,255722.7,281581.1,308152.1,338304.4,394208.9,428207.8,465830.1,505460.2,497418.6
53,Оренбургская область,10648.6,12428.0,12296.5,23293.9,34585.2,38769.3,43145.6,53548.8,79522.8,101110.3,145532.5,179882.4,209769.6,202332.4,224937.2,272897.1,311189.3,356311.4,364756.5,387881.4,408982.9,440024.7,537212.8,564897.9,538971.9
54,Пензенская область,6995.7,7209.2,6940.6,11825.9,16900.3,22547.8,28554.2,33304.2,41595.8,52163.8,62719.8,84558.3,105477.2,105487.4,124020.7,154608.1,174823.6,198177.1,217390.7,253911.0,266340.2,281369.7,310238.7,342250.5,379820.4
55,Самарская область,15758.0,18514.7,20439.5,32022.5,42758.9,55147.0,63582.9,79369.1,101362.5,124575.2,151238.8,181529.8,217089.9,181298.2,216167.6,259480.6,291701.5,326422.2,357774.7,394135.9,425864.5,453013.0,509855.1,530579.4,505093.4
56,Саратовская область,8580.5,10450.4,10186.4,16130.7,23315.4,31094.4,36413.6,45223.0,57710.3,65656.6,79127.0,98569.9,126085.9,128473.8,148839.0,171449.8,190850.1,210477.6,227132.0,251047.1,282214.0,294988.0,315610.0,333876.5,358480.4
57,Ульяновская область,9311.9,10148.4,10233.6,16310.6,21411.5,27453.2,32922.8,40195.3,49606.5,59804.8,76474.6,94375.6,114808.0,118179.9,137518.4,173890.3,188185.7,208720.5,220392.1,241633.8,292335.0,299921.8,311203.3,340581.4,360112.2
58,Курганская область,7357.7,7940.3,8833.0,13882.1,17758.7,24429.3,29253.3,36759.0,42889.3,51724.0,71738.6,86224.4,114237.4,117058.7,129013.4,151046.4,163909.9,189502.7,194978.6,207236.0,235547.8,247093.2,256618.3,280971.3,294464.0
59,Свердловская область,13311.3,14591.8,15825.7,24476.2,34214.7,44119.0,52241.3,63865.6,82546.5,108697.2,150548.6,189763.4,213922.3,191415.0,243234.2,300068.8,344382.7,363261.5,383847.2,421100.7,487246.6,522156.2,560977.3,586468.3,588270.0
60,Ханты-Мансийский автономный округ,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1575300.0,1719109.2,1715722.4,1782617.7,1947653.2,1912836.6,2155227.7,2715827.8,2733622.7,1994630.3
61,Ямало-Ненецкий автономный округ,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,1820301.3,2209803.4,2544898.0,3025745.6,3336453.4,3790547.2,4571566.9,5650999.3,5710467.4,5072483.6
62,Тюменская область,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,522064.8,532020.4,604921.2,564680.5,628098.5,659860.8,727930.9,872684.2,821610.6,757076.0
63,Челябинская область,12426.6,13096.6,12152.2,21580.9,33012.3,39216.5,47775.7,61444.7,81894.8,99159.8,127442.5,164797.5,190565.5,159901.0,187673.7,222664.2,241758.0,252988.8,284486.7,345597.1,380623.8,405015.2,436611.1,445276.7,467537.3
64,Республика Алтай,6277.4,6522.5,7596.2,10817.6,13505.1,22164.4,26160.6,34042.3,42067.6,43592.3,57555.4,74633.6,91713.1,97112.1,108729.5,127150.1,145400.1,157887.4,184281.7,196639.2,219520.8,222562.9,247496.8,268657.4,283451.4
65,Республика Тыва,5099.6,5925.8,6404.6,8908.8,11749.3,17012.1,22421.0,26607.4,32309.0,38429.7,50051.7,63959.4,78381.0,87889.5,99999.9,108178.0,120582.9,132745.7,146906.9,150265.5,182914.4,203160.1,228064.8,243052.4,251799.9
66,Республика Хакасия,10787.0,13774.9,14496.9,23582.9,31333.2,36306.2,46443.7,53320.2,61336.4,77864.6,100828.4,119953.2,136023.7,152205.1,180352.1,212487.7,245293.7,265860.7,296058.1,317763.6,386695.7,405788.7,451421.5,478781.0,500422.8
67,Алтайский край,7605.8,7431.0,8012.4,12204.8,17660.5,23509.0,27991.2,34295.8,44934.9,53812.4,69852.0,90759.9,106019.5,109088.7,124955.8,137677.2,153556.7,173763.5,186798.6,204933.1,224525.8,231268.4,247599.3,271319.7,291156.9
68,Красноярский край,17517.4,19933.1,22937.6,41021.4,71281.0,80038.8,77729.0,92547.5,125287.8,152389.0,205042.4,258394.3,260318.2,264478.7,372848.1,413172.4,416272.7,441084.9,493985.7,582345.8,634610.4,687442.8,825925.0,938016.7,951613.7
69,Иркутская область,15518.2,18708.6,18834.6,29255.0,39115.2,46044.3,54156.9,65468.6,84014.3,102904.3,133413.7,163588.0,178988.3,187688.7,224364.2,261550.4,304545.5,332700.5,379171.6,414986.5,472533.3,527025.3,608298.6,645518.8,631591.9
70,Кемеровская область,15627.0,14310.1,14326.3,21682.1,30047.8,38839.7,46860.1,57302.3,85850.4,104764.5,122394.2,157302.2,207286.2,184674.1,226198.1,272564.2,261527.1,243932.3,275513.8,309904.3,332941.6,406335.3,471742.7,416501.2,392374.9
71,Новосибирская область,11115.4,12562.7,12586.1,19322.5,26472.3,35177.3,45659.6,57360.1,71843.4,88475.5,111679.3,138199.1,171430.3,160210.4,181732.7,223623.0,269870.4,300522.5,332683.2,370895.7,387887.1,423663.3,466347.9,504043.1,485981.4
72,Омская область,12060.1,13008.3,12458.3,15727.1,21643.1,29219.2,44424.1,55729.2,94389.6,108970.6,130614.3,148129.3,174709.8,169327.8,193216.0,228486.6,248940.0,279510.4,304957.6,312450.2,338878.9,355839.6,377061.9,399371.1,398641.0
73,Томская область,15713.5,17516.7,19078.5,25149.2,38386.0,54221.6,72107.4,93193.8,128090.8,155365.2,184433.6,209319.9,241911.3,237293.3,272576.5,317037.4,350116.9,377218.0,401259.7,438316.5,483420.8,514001.1,568191.7,577550.7,518179.5
